average,goal number,goal name
0,0,
0.049013068403332485,1,Goal 1
0.05376475337373759,2,Goal 2
-0.014460774426522627,3,Goal 3
-0.4492202175071177,4,Goal 4
-0.3475972961594761,5,Goal 5
-0.006851731401046458,6,Goal 6
-0.13018241350686727,7,Goal 7
-0.08956058385746983,8,Goal 8
-0.023758430971847915,9,Goal 9
-0.1066387875965196,10,Goal 10
0.004446515186286462,11,Goal 11
-0.6715551225534023,12,Goal 12
0.03204058480965303,13,Goal 13
0.005358040144553091,14,Goal 14
-0.023449394729064498,15,Goal 15
-0.033526338104827934,16,Goal 16
0.028759401963830564,17,Goal 17
